https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNT
1644364800000,2022-02-09 00:00:00,GNT/USD,0.39715,0.41688,0.38387,0.41429,3223.5819053229084,7780.97927858
1644278400000,2022-02-08 00:00:00,GNT/USD,0.41221,0.45429,0.37489,0.39231,4007.700905640228,10215.6480988
1644192000000,2022-02-07 00:00:00,GNT/USD,0.39999,0.44036,0.39999,0.40685,14259.198894013107,35047.80359841
1644105600000,2022-02-06 00:00:00,GNT/USD,0.39897,0.39999,0.37632,0.39561,5392.729360286226,13631.4283266
1644019200000,2022-02-05 00:00:00,GNT/USD,0.38537,0.39968,0.37538,0.3933,6686.1125260229155,17000.03184852
1643932800000,2022-02-04 00:00:00,GNT/USD,0.35914,0.38508,0.35235,0.38305,6614.961218361093,17269.18474967
1643846400000,2022-02-03 00:00:00,GNT/USD,0.35999,0.37598,0.34019,0.35791,8712.745959493735,24343.39906539
1643760000000,2022-02-02 00:00:00,GNT/USD,0.34673,0.36,0.33668,0.34377,7343.806290428167,21362.55720519
1643673600000,2022-02-01 00:00:00,GNT/USD,0.34269,0.35058,0.33618,0.35058,2867.918061114169,8180.49535374
1643587200000,2022-01-31 00:00:00,GNT/USD,0.34107,0.34957,0.3203,0.34456,4077.731862162639,11834.60605457
1643500800000,2022-01-30 00:00:00,GNT/USD,0.34493,0.35595,0.32927,0.33928,4712.506586711258,13889.72702992
1643414400000,2022-01-29 00:00:00,GNT/USD,0.34238,0.34566,0.33278,0.34554,3439.6353480104385,9954.37676683
1643328000000,2022-01-28 00:00:00,GNT/USD,0.33079,0.36655,0.32532,0.33966,6895.739499952706,20301.88865322
1643241600000,2022-01-27 00:00:00,GNT/USD,0.31648,0.32967,0.27773,0.3294,8649.402752382048,26258.05328592
1643155200000,2022-01-26 00:00:00,GNT/USD,0.31548,0.33849,0.3045,0.32423,14481.276732484024,44663.5929201
1643068800000,2022-01-25 00:00:00,GNT/USD,0.31563,0.33247,0.28568,0.31549,11490.197073529447,36420.1625203
1642982400000,2022-01-24 00:00:00,GNT/USD,0.32952,0.35209,0.27019,0.31123,23899.262059827957,76789.71198094
1642896000000,2022-01-23 00:00:00,GNT/USD,0.31618,0.32994,0.29843,0.32572,13317.00267575465,40884.81725333
1642809600000,2022-01-22 00:00:00,GNT/USD,0.34074,0.34705,0.27548,0.32083,52904.76690063897,164899.68799875
1642723200000,2022-01-21 00:00:00,GNT/USD,0.3949,0.4038,0.33,0.34109,30780.120610468617,90240.46618332
1642636800000,2022-01-20 00:00:00,GNT/USD,0.40533,0.42244,0.39037,0.39368,9698.812870002503,24636.28548568
1642550400000,2022-01-19 00:00:00,GNT/USD,0.42145,0.42145,0.3921,0.40076,15296.392915696391,38168.46221104
1642464000000,2022-01-18 00:00:00,GNT/USD,0.41795,0.42557,0.40544,0.41493,1072.1356628085155,2583.89526621
1642377600000,2022-01-17 00:00:00,GNT/USD,0.43817,0.43817,0.41159,0.42019,1143.1814943751488,2720.62993973
