https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1652054400000,2022-05-09 00:00:00,IQX/USD,0.0080842,0.0082264,0.0068949,0.0068949,87785.81688914335,12731992.76119209
1651968000000,2022-05-08 00:00:00,IQX/USD,0.008512,0.0085551,0.0078749,0.0081097,45289.11008651315,5584560.47529664
1651881600000,2022-05-07 00:00:00,IQX/USD,0.008851,0.0088736,0.0084199,0.0085371,34922.80883998459,4090710.99553532
1651795200000,2022-05-06 00:00:00,IQX/USD,0.0089588,0.0096412,0.0086709,0.0088627,80910.2699539525,9129302.57753873
1651708800000,2022-05-05 00:00:00,IQX/USD,0.010114,0.010114,0.0088903,0.0089759,63702.18202195208,7097024.47909982
1651622400000,2022-05-04 00:00:00,IQX/USD,0.0094369,0.010058,0.0091911,0.010012,54303.58381602546,5423849.76188828
1651536000000,2022-05-03 00:00:00,IQX/USD,0.0097668,0.0097694,0.0093982,0.0094275,31949.946955296247,3389015.85312079
1651449600000,2022-05-02 00:00:00,IQX/USD,0.0093813,0.010151,0.0093326,0.0097772,101206.52773998058,10351279.27627343
1651363200000,2022-05-01 00:00:00,IQX/USD,0.0092096,0.010276,0.0088011,0.0094208,146331.26320278726,15532785.24146434
1651276800000,2022-04-30 00:00:00,IQX/USD,0.010269,0.010289,0.0092293,0.0092382,32041.81238428479,3468404.2761885202
1651190400000,2022-04-29 00:00:00,IQX/USD,0.010734,0.010734,0.010197,0.010238,48292.58342656847,4716993.8881196
1651104000000,2022-04-28 00:00:00,IQX/USD,0.010694,0.010941,0.010517,0.010723,63236.389585961835,5897266.58453435
1651017600000,2022-04-27 00:00:00,IQX/USD,0.01054,0.010746,0.010282,0.010672,57256.34737109073,5365100.01603174
1650931200000,2022-04-26 00:00:00,IQX/USD,0.011193,0.011326,0.010442,0.010509,54978.21972354131,5231536.75169296
1650844800000,2022-04-25 00:00:00,IQX/USD,0.011414,0.011463,0.010623,0.011216,79629.29804650469,7099616.44494514
1650758400000,2022-04-24 00:00:00,IQX/USD,0.011583,0.011583,0.0112,0.011432,20118.860043334185,1759872.2921041101
1650672000000,2022-04-23 00:00:00,IQX/USD,0.011686,0.01173,0.011393,0.011643,11470.705076982033,985201.8446261301
1650585600000,2022-04-22 00:00:00,IQX/USD,0.011878,0.012109,0.011398,0.011681,25372.479370647176,2172115.34720034
1650499200000,2022-04-21 00:00:00,IQX/USD,0.012125,0.012364,0.011779,0.011966,28244.623666853044,2360406.45719982
1650412800000,2022-04-20 00:00:00,IQX/USD,0.011898,0.012152,0.011626,0.012125,24101.784778969533,1987776.06424491
1650326400000,2022-04-19 00:00:00,IQX/USD,0.011696,0.011972,0.011453,0.011937,18896.103873131287,1582985.99925704
1650240000000,2022-04-18 00:00:00,IQX/USD,0.011757,0.011921,0.011029,0.011743,29006.61983600705,2470120.05756681
1650153600000,2022-04-17 00:00:00,IQX/USD,0.011984,0.012252,0.011752,0.011758,13155.307852858336,1118838.90566919
1650067200000,2022-04-16 00:00:00,IQX/USD,0.012103,0.012225,0.01181,0.012043,22252.5257606566,1847756.02097954
1649980800000,2022-04-15 00:00:00,IQX/USD,0.011799,0.012346,0.011608,0.012131,47391.009527924325,3906603.70356313
1649894400000,2022-04-14 00:00:00,IQX/USD,0.012027,0.012507,0.011573,0.011825,30419.401081250217,2572465.20771672
1649808000000,2022-04-13 00:00:00,IQX/USD,0.011581,0.012084,0.01152,0.012047,22102.70859722637,1834706.44950829
1649721600000,2022-04-12 00:00:00,IQX/USD,0.011184,0.011646,0.01088,0.011595,42987.293153290615,3707399.1507797
1649635200000,2022-04-11 00:00:00,IQX/USD,0.012566,0.012566,0.01106,0.011207,53139.472425169246,4741632.23210219
1649548800000,2022-04-10 00:00:00,IQX/USD,0.012438,0.012982,0.01242,0.012515,27337.289143808044,2184361.89722797
1649462400000,2022-04-09 00:00:00,IQX/USD,0.012086,0.012381,0.012024,0.012381,44577.81429164878,3600501.92162578
1649376000000,2022-04-08 00:00:00,IQX/USD,0.012758,0.012758,0.012081,0.01214,57434.91078628628,4731047.01699228
1649289600000,2022-04-07 00:00:00,IQX/USD,0.012343,0.012992,0.012128,0.012788,61534.37629677888,4811884.28970745
1649203200000,2022-04-06 00:00:00,IQX/USD,0.014039,0.014117,0.012222,0.012397,38267.68930856028,3086850.79523758
1649116800000,2022-04-05 00:00:00,IQX/USD,0.013413,0.014768,0.013269,0.013981,23620.977185509546,1689505.55650594
1649030400000,2022-04-04 00:00:00,IQX/USD,0.014544,0.014565,0.012599,0.013449,43649.39881129551,3245549.76662172
1648944000000,2022-04-03 00:00:00,IQX/USD,0.014681,0.015369,0.013862,0.014617,71836.15120067845,4914561.89373185
1648857600000,2022-04-02 00:00:00,IQX/USD,0.016514,0.016858,0.014589,0.014607,137356.48875559427,9403470.16879539
