https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IOT
1644192000000,2022-02-07 00:00:00,IOT/USD,0.9596,1.016,0.93565,1.0,1462543.80967403,1462543.80967403
1644105600000,2022-02-06 00:00:00,IOT/USD,0.94944,0.96147,0.92,0.95954,563410.2697686895,587167.04855315
1644019200000,2022-02-05 00:00:00,IOT/USD,0.95691,0.98115,0.92004,0.95046,738675.6773333414,777177.027264
1643932800000,2022-02-04 00:00:00,IOT/USD,0.9283797,0.96275,0.90398,0.95463,1343730.453071355,1407592.94498534
1643846400000,2022-02-03 00:00:00,IOT/USD,0.84056,0.93152,0.8236,0.92794474,1582157.840274936,1705012.99492784
1643760000000,2022-02-02 00:00:00,IOT/USD,0.84127,0.91131,0.83387,0.83998,1403400.0672480513,1670754.1456321
1643673600000,2022-02-01 00:00:00,IOT/USD,0.83389,0.86493,0.83111,0.84078,813837.2902818901,967955.10155081
1643587200000,2022-01-31 00:00:00,IOT/USD,0.81463067,0.83961,0.78510827,0.83532,826001.4838695033,988844.37565185
1643500800000,2022-01-30 00:00:00,IOT/USD,0.83064,0.85211,0.8031,0.81604,758521.6885347218,929515.32833528
1643414400000,2022-01-29 00:00:00,IOT/USD,0.81699,0.8468,0.81505,0.83122,581632.4862579756,699733.50768506
1643328000000,2022-01-28 00:00:00,IOT/USD,0.80242,0.82215,0.77707,0.81755,559039.2738068937,683798.26775964
1643241600000,2022-01-27 00:00:00,IOT/USD,0.80371,0.83229167,0.77,0.80226,884790.7734402837,1102872.85099629
1643155200000,2022-01-26 00:00:00,IOT/USD,0.81201547,0.86656,0.79328,0.80336,1578577.56215736,1964969.08254999
1643068800000,2022-01-25 00:00:00,IOT/USD,0.79167,0.82514,0.7718,0.81111,1055035.6637571368,1300730.68234535
1642982400000,2022-01-24 00:00:00,IOT/USD,0.81549,0.8155,0.69436,0.79095,3291622.1013155803,4161605.79216838
1642896000000,2022-01-23 00:00:00,IOT/USD,0.7812,0.841,0.76888,0.81654,2568988.656895313,3146188.37643632
1642809600000,2022-01-22 00:00:00,IOT/USD,0.85605948,0.87764,0.69720281,0.7816,5371606.921903181,6872577.94511666
1642723200000,2022-01-21 00:00:00,IOT/USD,1.01717098,1.0353,0.83711,0.85838202,3875486.451430269,4514873.75216721
1642636800000,2022-01-20 00:00:00,IOT/USD,1.05075866,1.112,1.0115,1.0177,2017036.169839924,1981955.55649005
1642550400000,2022-01-19 00:00:00,IOT/USD,1.1038,1.1058,1.04,1.05077203,1278260.8223495372,1216496.80982614
1642464000000,2022-01-18 00:00:00,IOT/USD,1.16207428,1.1942,1.0765,1.1041,2145486.603329604,1943199.53204384
1642377600000,2022-01-17 00:00:00,IOT/USD,1.1374,1.19,1.1169,1.1631,1845586.7702723749,1586782.53827906
1642291200000,2022-01-16 00:00:00,IOT/USD,1.1254,1.159,1.1171,1.1369,2169618.671454319,1908363.68322132
1642204800000,2022-01-15 00:00:00,IOT/USD,1.1226,1.1561,1.1176,1.1269,1468705.1130655732,1303314.50267599
1642118400000,2022-01-14 00:00:00,IOT/USD,1.1093,1.1288,1.0798,1.1218,1888798.822225178,1683721.53879941
1642032000000,2022-01-13 00:00:00,IOT/USD,1.1842,1.1995,1.1031,1.1077,2408459.7132900637,2174288.80860347
1641945600000,2022-01-12 00:00:00,IOT/USD,1.1421,1.1983,1.1347,1.1857,2212650.3543205624,1866113.14356124
1641859200000,2022-01-11 00:00:00,IOT/USD,1.11390116,1.1528,1.075,1.1418,3658774.8938618675,3204392.09481684
1641772800000,2022-01-10 00:00:00,IOT/USD,1.0708,1.1217,1.005,1.11214479,4458763.3471173765,4009157.24931587
1641686400000,2022-01-09 00:00:00,IOT/USD,1.0754,1.102,1.034,1.0718,2566561.5140478546,2394627.27565577
1641600000000,2022-01-08 00:00:00,IOT/USD,1.117,1.1397,1.03,1.0746,3770891.9317704383,3509112.16431271
1641513600000,2022-01-07 00:00:00,IOT/USD,1.1863,1.1892,1.0868,1.1165,4138563.127325092,3706729.1780789
1641427200000,2022-01-06 00:00:00,IOT/USD,1.171,1.2102,1.1277,1.1859,3189134.4891515137,2689210.29526226
1641340800000,2022-01-05 00:00:00,IOT/USD,1.2776,1.297,1.09713948,1.1718,4324456.536885946,3690439.09957838
1641254400000,2022-01-04 00:00:00,IOT/USD,1.3862,1.3969,1.2746,1.2777,5643914.548860289,4417245.47926766
1641168000000,2022-01-03 00:00:00,IOT/USD,1.3739,1.405,1.3425,1.3862,1948048.2760605954,1405315.44947381
1641081600000,2022-01-02 00:00:00,IOT/USD,1.4123,1.41632187,1.365,1.3748,1428593.8854731899,1039128.51721937
1640995200000,2022-01-01 00:00:00,IOT/USD,1.3653,1.4295,1.3456,1.4121,1734656.8061765411,1228423.48713019
1640908800000,2021-12-31 00:00:00,IOT/USD,1.4266,1.4673,1.3445,1.3652,3751354.077827075,2747842.13142915
1640822400000,2021-12-30 00:00:00,IOT/USD,1.48571688,1.5518,1.4201,1.4278192,5849225.711819149,4096615.11192674
1640736000000,2021-12-29 00:00:00,IOT/USD,1.4298,1.55,1.4297,1.48321854,8533777.300138505,5753553.55262651
1640649600000,2021-12-28 00:00:00,IOT/USD,1.4196,1.526,1.3386,1.4293,13486824.058276854,9435964.49889936
1640563200000,2021-12-27 00:00:00,IOT/USD,1.4023,1.4648,1.383,1.4225,3622867.707749855,2546831.42899814
