https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1651104000000,2022-04-28 00:00:00,STJ/USD,0.99065,1.031,0.9805,1.0059,6195.341984836095,6159.00386205
1651017600000,2022-04-27 00:00:00,STJ/USD,0.9592,0.9954,0.9463,0.99071,10145.878279370861,10241.01733037
1650931200000,2022-04-26 00:00:00,STJ/USD,1.0572,1.0613,0.94498,0.9625,23649.446393024376,24570.85339535
1650844800000,2022-04-25 00:00:00,STJ/USD,1.0688,1.0706,0.9854,1.0555,42034.63661379731,39824.38333851
1650758400000,2022-04-24 00:00:00,STJ/USD,1.0705,1.1612,1.0544,1.0664,24087.650421710627,22587.81922516
1650672000000,2022-04-23 00:00:00,STJ/USD,1.0867,1.0931,1.0544,1.068,6499.22319206112,6085.41497384
1650585600000,2022-04-22 00:00:00,STJ/USD,1.1012,1.1413,1.0777,1.089,19888.94669170563,18263.49558467
1650499200000,2022-04-21 00:00:00,STJ/USD,1.19,1.2054,1.0814,1.1024,21626.337254192735,19617.50476614
1650412800000,2022-04-20 00:00:00,STJ/USD,1.2566,1.3774,1.1771,1.1898,89893.88217338825,75553.77557017
1650326400000,2022-04-19 00:00:00,STJ/USD,1.0626,1.2533,1.0515,1.2482,29750.417777758845,23834.65612703
1650240000000,2022-04-18 00:00:00,STJ/USD,1.0388,1.0626,0.98634,1.0626,4686.520446222385,4410.42767384
1650153600000,2022-04-17 00:00:00,STJ/USD,1.0898,1.1028,1.0368,1.0395,4422.360834297945,4254.31537691
1650067200000,2022-04-16 00:00:00,STJ/USD,1.0832,1.0925,1.0479,1.092,1886.3906986688403,1727.46400977
1649980800000,2022-04-15 00:00:00,STJ/USD,1.0795,1.1146,1.0535,1.0836,19663.92615758886,18146.84953635
1649894400000,2022-04-14 00:00:00,STJ/USD,1.1223,1.1394,1.0578,1.0813,7779.522398719665,7194.60131205
1649808000000,2022-04-13 00:00:00,STJ/USD,1.0461,1.1322,1.0405,1.1251,11235.683468566549,9986.38651548
1649721600000,2022-04-12 00:00:00,STJ/USD,0.9919,1.1308,0.9754,1.0463,4241.814204732907,4054.10895989
1649635200000,2022-04-11 00:00:00,STJ/USD,1.0993,1.1059,0.98026,0.988,4751.95910169032,4809.67520414
1649548800000,2022-04-10 00:00:00,STJ/USD,1.1491,1.1607,1.0955,1.0955,5265.624124502175,4806.59436285
1649462400000,2022-04-09 00:00:00,STJ/USD,1.1193,1.1573,1.1023,1.1502,2768.725154663604,2407.16845302
1649376000000,2022-04-08 00:00:00,STJ/USD,1.1505,1.1848,1.1051,1.1156,3726.3868846777677,3340.25357178
1649289600000,2022-04-07 00:00:00,STJ/USD,1.1212,1.1616,1.0802,1.1538,2715.568895472174,2353.58718623
1649203200000,2022-04-06 00:00:00,STJ/USD,1.2778,1.2797,1.1135,1.1156,16149.157758931642,14475.759912989999
1649116800000,2022-04-05 00:00:00,STJ/USD,1.341,1.3665,1.2751,1.2859,7349.62111795889,5715.54640171
1649030400000,2022-04-04 00:00:00,STJ/USD,1.4575,1.6091,1.2854,1.3437,51979.93974756774,38684.1852702
1648944000000,2022-04-03 00:00:00,STJ/USD,1.4126,1.4838,1.3601,1.4517,9314.296424899587,6416.13034711
1648857600000,2022-04-02 00:00:00,STJ/USD,1.3803,1.4642,1.3683,1.4065,18045.1597324946,12829.8327284
1648771200000,2022-04-01 00:00:00,STJ/USD,1.3409,1.3779,1.2696,1.3772,6602.143422503023,4793.88863092
1648684800000,2022-03-31 00:00:00,STJ/USD,1.4106,1.47,1.3063,1.3369,47489.033121022694,35521.75414842
1648598400000,2022-03-30 00:00:00,STJ/USD,1.3499,1.5206,1.2844,1.4165,36871.69847535224,26030.143646559998
1648512000000,2022-03-29 00:00:00,STJ/USD,1.2988,1.3772,1.2948,1.3532,20771.315357047508,15349.77487219
1648425600000,2022-03-28 00:00:00,STJ/USD,1.3402,1.3728,1.2789,1.2954,13263.12015531192,10238.6291148
1648339200000,2022-03-27 00:00:00,STJ/USD,1.2517,1.3499,1.2435,1.3278,18500.387857585632,13933.11331344
1648252800000,2022-03-26 00:00:00,STJ/USD,1.1689,1.2669,1.1689,1.26,14029.0137730764,11134.13791514
1648166400000,2022-03-25 00:00:00,STJ/USD,1.1778,1.1983,1.1297,1.1713,7176.759030029836,6127.17410572
1648080000000,2022-03-24 00:00:00,STJ/USD,1.1587,1.1878,1.1365,1.1827,16300.13666935078,13782.139739029999
1647993600000,2022-03-23 00:00:00,STJ/USD,1.1244,1.1853,1.0973,1.1635,11523.383388443941,9904.06823244
1647907200000,2022-03-22 00:00:00,STJ/USD,1.1003,1.1531,1.0906,1.1275,7085.753569103,6284.4821012
1647820800000,2022-03-21 00:00:00,STJ/USD,1.0774,1.1124,1.0456,1.1026,8145.687801848212,7387.70887162
1647734400000,2022-03-20 00:00:00,STJ/USD,1.0938,1.1337,1.0564,1.0771,7420.926451410955,6889.72839236
1647648000000,2022-03-19 00:00:00,STJ/USD,1.0714,1.1043,1.0634,1.0981,10114.020640279505,9210.47321763
