https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CHZ
1648080000000,2022-03-24 00:00:00,CHZ/USD,0.21614,0.22801,0.21529,0.22101,20582.66106766987,93129.99894878
1647993600000,2022-03-23 00:00:00,CHZ/USD,0.20948,0.21392,0.20541,0.21364,7982.567892869803,37364.57542066
1647907200000,2022-03-22 00:00:00,CHZ/USD,0.20489,0.21346,0.20431,0.20884,16927.31341597933,81053.98111463
1647820800000,2022-03-21 00:00:00,CHZ/USD,0.2038,0.2038,0.19736,0.20301,3568.4843542906738,17577.87475637
1647734400000,2022-03-20 00:00:00,CHZ/USD,0.20788,0.21066,0.20004,0.20392,11709.575505986322,57422.39851896
1647648000000,2022-03-19 00:00:00,CHZ/USD,0.20911,0.21559,0.20798,0.21024,8199.237468015706,38999.41718044
1647561600000,2022-03-18 00:00:00,CHZ/USD,0.21213,0.21213,0.20002,0.20854,14543.860904781965,69741.34892482
1647475200000,2022-03-17 00:00:00,CHZ/USD,0.20345,0.21312,0.19909,0.21001,33069.22364954806,157464.99523617
1647388800000,2022-03-16 00:00:00,CHZ/USD,0.19212,0.20164,0.18994,0.20145,11131.085169276319,55254.82834091
1647302400000,2022-03-15 00:00:00,CHZ/USD,0.19489,0.19489,0.18864,0.19167,2418.571898262051,12618.41654021
1647216000000,2022-03-14 00:00:00,CHZ/USD,0.19283,0.19678,0.18927,0.19591,7227.992068653212,36894.4518843
1647129600000,2022-03-13 00:00:00,CHZ/USD,0.20127,0.21524,0.1941,0.19489,34794.031987624454,178531.6434277
1647043200000,2022-03-12 00:00:00,CHZ/USD,0.19327,0.21124,0.19327,0.20414,13593.31673892426,66588.2077933
1646956800000,2022-03-11 00:00:00,CHZ/USD,0.19577,0.20199,0.19122,0.19412,3293.328884214128,16965.4280044
1646870400000,2022-03-10 00:00:00,CHZ/USD,0.19823,0.20039,0.18352,0.19709,10712.992040562203,54355.83764048
1646784000000,2022-03-09 00:00:00,CHZ/USD,0.19395,0.20591,0.19395,0.20126,14937.674988765797,74220.7840046
1646697600000,2022-03-08 00:00:00,CHZ/USD,0.19624,0.19938,0.19085,0.19318,8376.849483109603,43362.92309302
1646611200000,2022-03-07 00:00:00,CHZ/USD,0.20763,0.20763,0.19121,0.19538,10929.499283694166,55939.70357096
1646524800000,2022-03-06 00:00:00,CHZ/USD,0.23144,0.23258,0.20803,0.20815,27064.80559533883,130025.4892882
1646438400000,2022-03-05 00:00:00,CHZ/USD,0.19197,0.23682,0.18834,0.23303,66618.79644832949,285880.77264013
1646352000000,2022-03-04 00:00:00,CHZ/USD,0.19527,0.20549,0.18994,0.19493,25752.34424732815,132110.72819642
1646265600000,2022-03-03 00:00:00,CHZ/USD,0.19814,0.19858,0.1869,0.19562,16132.238797602842,82467.22624273
1646179200000,2022-03-02 00:00:00,CHZ/USD,0.1914,0.20869,0.1914,0.19883,26738.784254413287,134480.63297497
1646092800000,2022-03-01 00:00:00,CHZ/USD,0.1945,0.19689,0.1875,0.19682,25590.454601700505,130019.58440047
1646006400000,2022-02-28 00:00:00,CHZ/USD,0.16706,0.19408,0.16497,0.19087,33333.38424038044,174639.20071452
1645920000000,2022-02-27 00:00:00,CHZ/USD,0.17178,0.17584,0.1651,0.166,2015.3658864154002,12140.7583519
1645833600000,2022-02-26 00:00:00,CHZ/USD,0.17446,0.17967,0.17414,0.17414,5182.070869337941,29758.07321315
1645747200000,2022-02-25 00:00:00,CHZ/USD,0.16544,0.17555,0.16273,0.17369,7446.067099799423,42869.86642754
1645660800000,2022-02-24 00:00:00,CHZ/USD,0.1691,0.17069,0.1459,0.1642,42724.07687261512,260195.35245198
1645574400000,2022-02-23 00:00:00,CHZ/USD,0.1796,0.18649,0.17088,0.17088,4538.22973410599,26557.99235783
1645488000000,2022-02-22 00:00:00,CHZ/USD,0.17058,0.17969,0.16335,0.17675,4467.6765950600175,25276.81241901
1645401600000,2022-02-21 00:00:00,CHZ/USD,0.18589,0.19639,0.16817,0.16817,13297.548251778964,79072.05953368
1645315200000,2022-02-20 00:00:00,CHZ/USD,0.19289,0.19289,0.18349,0.18848,3023.994812136813,16044.11508986
1645228800000,2022-02-19 00:00:00,CHZ/USD,0.19801,0.20065,0.19127,0.19676,9834.352644233644,49981.46292048
1645142400000,2022-02-18 00:00:00,CHZ/USD,0.20299,0.20751,0.19544,0.19783,26755.197028478207,135243.37576949
