https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANC
1644278400000,2022-02-08 00:00:00,ANC/USD,1.6045,1.6653,1.542,1.6221,117596.9543022461,72496.73528281
1644192000000,2022-02-07 00:00:00,ANC/USD,1.4234,1.6036,1.4049,1.6036,56423.437414810796,35185.48105189
1644105600000,2022-02-06 00:00:00,ANC/USD,1.415,1.4392,1.4043,1.4239,15926.002197202763,11184.77575476
1644019200000,2022-02-05 00:00:00,ANC/USD,1.424,1.4556,1.4118,1.4146,22013.69871102404,15561.78333877
1643932800000,2022-02-04 00:00:00,ANC/USD,1.344,1.4261,1.3235,1.4251,36682.578860030284,25740.35426288
1643846400000,2022-02-03 00:00:00,ANC/USD,1.3552,1.3552,1.3066,1.3455,64829.15214996343,48182.20152357
1643760000000,2022-02-02 00:00:00,ANC/USD,1.5561,1.5564,1.3537,1.3568,36637.548356070656,27002.91005017
1643673600000,2022-02-01 00:00:00,ANC/USD,1.5408,1.5795,1.5322,1.5579,18682.240646489896,11991.93828005
1643587200000,2022-01-31 00:00:00,ANC/USD,1.5333,1.5548,1.4584,1.543,49488.62303033575,32072.98965025
1643500800000,2022-01-30 00:00:00,ANC/USD,1.56,1.6359,1.5116,1.5311,74221.27670869546,48475.78649905
1643414400000,2022-01-29 00:00:00,ANC/USD,1.3333,1.6152,1.3287,1.5626,341383.895000061,218471.71061056
1643328000000,2022-01-28 00:00:00,ANC/USD,1.4014,1.4141,1.26,1.333,237648.8659604749,178281.2197753
1643241600000,2022-01-27 00:00:00,ANC/USD,1.5857,1.5928,1.3804,1.4035,91441.44942052005,65152.43991487
1643155200000,2022-01-26 00:00:00,ANC/USD,1.6175,1.6565,1.5783,1.5842,133721.42273975347,84409.43235687
1643068800000,2022-01-25 00:00:00,ANC/USD,1.547,1.9591,1.5333,1.617,1334602.2767294701,825357.00478013
1642982400000,2022-01-24 00:00:00,ANC/USD,1.682,1.6828,1.44,1.548,420661.0934217634,271744.89239132
1642896000000,2022-01-23 00:00:00,ANC/USD,1.5952,1.682,1.5923,1.6808,135555.55712882735,80649.42713519
1642809600000,2022-01-22 00:00:00,ANC/USD,1.8705,1.8734,1.5118,1.5953,345526.41536362877,216590.24344238
1642723200000,2022-01-21 00:00:00,ANC/USD,2.218,2.2232,1.869,1.8693,227025.98011928625,121449.72990921
1642636800000,2022-01-20 00:00:00,ANC/USD,2.1857,2.2835,2.1828,2.2174,237810.8731141447,107247.62023728
1642550400000,2022-01-19 00:00:00,ANC/USD,2.2047,2.2251,2.1843,2.189,194218.60009949244,88724.80589287
1642464000000,2022-01-18 00:00:00,ANC/USD,2.3896,2.401,2.1746,2.2062,359882.5622903209,163123.27182047
1642377600000,2022-01-17 00:00:00,ANC/USD,2.5043,2.5137,2.3849,2.3923,121417.11659917046,50753.29874981
1642291200000,2022-01-16 00:00:00,ANC/USD,2.4991,2.5165,2.4898,2.503,77688.65742803205,31038.21711068
1642204800000,2022-01-15 00:00:00,ANC/USD,2.5074,2.5088,2.4748,2.5056,27325.931206401216,10905.94316986
1642118400000,2022-01-14 00:00:00,ANC/USD,2.5995,2.63,2.4972,2.503,104123.06192075476,41599.30560158
1642032000000,2022-01-13 00:00:00,ANC/USD,2.7047,2.8053,2.597,2.6003,206202.20300453628,79299.38968755
1641945600000,2022-01-12 00:00:00,ANC/USD,2.594,2.7037,2.5605,2.7037,310802.49045300385,114954.50325591
1641859200000,2022-01-11 00:00:00,ANC/USD,2.5947,2.665,2.5766,2.5924,77536.81137203096,29909.27764698
1641772800000,2022-01-10 00:00:00,ANC/USD,2.6988,2.7195,2.58,2.595,84038.8398049776,32384.90936608
1641686400000,2022-01-09 00:00:00,ANC/USD,2.6592,2.733,2.6578,2.6979,115613.8760500726,42853.28442495
1641600000000,2022-01-08 00:00:00,ANC/USD,2.7591,2.7776,2.6461,2.6566,112765.41641853646,42447.26959969
1641513600000,2022-01-07 00:00:00,ANC/USD,3.0627,3.0657,2.7506,2.7631,233231.19409452626,84409.24834227
1641427200000,2022-01-06 00:00:00,ANC/USD,3.1074,3.1091,2.9957,3.0633,262818.6939654488,85795.93705006
1641340800000,2022-01-05 00:00:00,ANC/USD,3.2936,3.3229,3.1074,3.1088,144797.83142955456,46576.7599812
1641254400000,2022-01-04 00:00:00,ANC/USD,3.4504,3.4545,3.2941,3.3009,86512.11531525082,26208.64470758
1641168000000,2022-01-03 00:00:00,ANC/USD,3.5164,3.5169,3.435,3.4518,109128.91607685105,31615.07505558
1641081600000,2022-01-02 00:00:00,ANC/USD,3.554,3.578,3.5156,3.516,61606.11397248516,17521.64788751
1640995200000,2022-01-01 00:00:00,ANC/USD,3.4396,3.554,3.4254,3.547,199767.69512479915,56320.18469828
1640908800000,2021-12-31 00:00:00,ANC/USD,3.5286,3.7132,3.4078,3.4389,183978.24065060558,53499.15398837
1640822400000,2021-12-30 00:00:00,ANC/USD,3.383,3.5859,3.3595,3.5286,197292.73116618648,55912.46703117
1640736000000,2021-12-29 00:00:00,ANC/USD,3.4578,3.4978,3.3473,3.3819,88063.94489734083,26039.78381896
1640649600000,2021-12-28 00:00:00,ANC/USD,3.7689,3.8056,3.4578,3.4688,181952.71993169573,52454.08208363
1640563200000,2021-12-27 00:00:00,ANC/USD,3.9858,4.038,3.7689,3.7777,251964.43076306328,66697.84015752
1640476800000,2021-12-26 00:00:00,ANC/USD,4.0419,4.0419,3.9631,3.9789,114426.66132037567,28758.36570921
1640390400000,2021-12-25 00:00:00,ANC/USD,3.9883,4.1862,3.9875,4.0433,328655.7088504732,81284.0276137
1640304000000,2021-12-24 00:00:00,ANC/USD,3.7538,4.1263,3.7478,3.9835,672228.442170775,168753.21756515
1640217600000,2021-12-23 00:00:00,ANC/USD,3.7214,3.7533,3.6078,3.7524,120099.39423159705,32006.02127481
1640131200000,2021-12-22 00:00:00,ANC/USD,3.5843,3.8251,3.5843,3.7223,386481.29396624205,103828.62584054
1640044800000,2021-12-21 00:00:00,ANC/USD,3.4118,3.5919,3.3892,3.5882,172127.3794348045,47970.397256230004
