https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTM
1641686400000,2022-01-09 00:00:00,QTM/USD,7.599,7.804,7.5454,7.665,9289.7909731284,1211.97533896
1641600000000,2022-01-08 00:00:00,QTM/USD,7.9014,8.072,7.4085,7.6044,28434.169090512325,3739.17325371
1641513600000,2022-01-07 00:00:00,QTM/USD,8.3572,8.4943,7.7027,7.85,57928.450785584,7379.42048224
1641427200000,2022-01-06 00:00:00,QTM/USD,8.233,8.414,8.0135,8.359,52548.06853113623,6286.40609297
1641340800000,2022-01-05 00:00:00,QTM/USD,8.9699,9.235,7.9024,8.273,35637.43179185654,4307.67941398
1641254400000,2022-01-04 00:00:00,QTM/USD,9.1818,9.301,8.9779,8.986,24398.038676713622,2715.11670117
1641168000000,2022-01-03 00:00:00,QTM/USD,9.223,10.145,9.037,9.089,114159.74121638796,12560.20917773
1641081600000,2022-01-02 00:00:00,QTM/USD,8.963,9.3153,8.8984,9.2328,17558.328467272775,1901.73386917
1640995200000,2022-01-01 00:00:00,QTM/USD,8.7784,8.922,8.741,8.913,22561.65023583489,2531.31944753
1640908800000,2021-12-31 00:00:00,QTM/USD,8.8194,9.063,8.504,8.7432,28485.37061604384,3258.0028612
1640822400000,2021-12-30 00:00:00,QTM/USD,8.7862,8.9893,8.5393,8.8358,40660.24206317624,4601.76125118
1640736000000,2021-12-29 00:00:00,QTM/USD,9.1001,9.221,8.7417,8.7753,22810.652011460646,2599.41563382
1640649600000,2021-12-28 00:00:00,QTM/USD,9.9882,9.999,9.03,9.1427,23298.734650846814,2548.34290208
1640563200000,2021-12-27 00:00:00,QTM/USD,9.9421,10.41,9.866,10.021,43578.21950294032,4348.68970192
1640476800000,2021-12-26 00:00:00,QTM/USD,10.02,10.045,9.6774,9.905,18894.009767902848,1907.52243997
1640390400000,2021-12-25 00:00:00,QTM/USD,9.773,10.11,9.72,10.05,21389.468549817,2128.30532834
1640304000000,2021-12-24 00:00:00,QTM/USD,10.047,10.5,9.729,9.7676,25946.075541572933,2656.34091707
1640217600000,2021-12-23 00:00:00,QTM/USD,9.4468,10.261,9.3242,10.039,34722.68152939163,3458.77891517
1640131200000,2021-12-22 00:00:00,QTM/USD,9.232,9.609,9.203,9.3986,26107.527967535792,2777.81030872
1640044800000,2021-12-21 00:00:00,QTM/USD,8.9926,9.281,8.8695,9.22,37731.940744437205,4092.40138226
1639958400000,2021-12-20 00:00:00,QTM/USD,9.0857,9.1637,8.66,8.939,23747.57825825644,2656.62582596
1639872000000,2021-12-19 00:00:00,QTM/USD,9.2611,9.405,9.0862,9.0862,3104.9102552068102,341.71713755
