https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1644451200000,2022-02-10 00:00:00,BSV/USD,101.62,103.33,98.467,98.616,171067.59757377527,1734.6840023299999
1644364800000,2022-02-09 00:00:00,BSV/USD,101.63,102.27,98.917,101.68,174457.9573402664,1715.75489123
1644278400000,2022-02-08 00:00:00,BSV/USD,102.28,106.15,98.061,101.35,684123.5899308485,6750.10942211
1644192000000,2022-02-07 00:00:00,BSV/USD,98.688,103.43,97.233,102.22,856425.2807028574,8378.25553417
1644105600000,2022-02-06 00:00:00,BSV/USD,96.806,99.424,95.76,98.783,82955.19301397189,839.77195483
1644019200000,2022-02-05 00:00:00,BSV/USD,95.799,98.333,94.7,96.791,185245.74169376693,1913.87362145
1643932800000,2022-02-04 00:00:00,BSV/USD,89.855,95.824,89.237,95.736,472391.22545839445,4934.3112879
1643846400000,2022-02-03 00:00:00,BSV/USD,89.844,90.251,87.42,89.835,68516.4081723804,762.69169224
1643760000000,2022-02-02 00:00:00,BSV/USD,91.628,94.316,89.778,89.932,354171.69087532384,3938.21655112
1643673600000,2022-02-01 00:00:00,BSV/USD,91.372,92.944,90.734,91.738,131208.3777428626,1430.25112541
1643587200000,2022-01-31 00:00:00,BSV/USD,90.762,92.169,87.378,91.456,101238.3145273568,1106.96197655
1643500800000,2022-01-30 00:00:00,BSV/USD,92.53,93.012,89.08,90.391,100952.2750221617,1116.83989581
1643414400000,2022-01-29 00:00:00,BSV/USD,90.422,93.222,90.094,92.672,31164.68653480448,336.29021209
1643328000000,2022-01-28 00:00:00,BSV/USD,89.29,90.944,86.711,90.497,202054.38549944572,2232.71915643
1643241600000,2022-01-27 00:00:00,BSV/USD,90.788,92.109,85.389,89.237,301752.3544953683,3381.47130109
1643155200000,2022-01-26 00:00:00,BSV/USD,90.764,96.088,89.5,90.863,402025.9648257682,4424.52884921
1643068800000,2022-01-25 00:00:00,BSV/USD,91.763,94.151,88.776,90.705,525207.8443599963,5790.28547886
1642982400000,2022-01-24 00:00:00,BSV/USD,94.12,103.59,83.027,91.771,1313737.8335504574,14315.39193809
1642896000000,2022-01-23 00:00:00,BSV/USD,89.076,94.54,87.553,93.825,171404.42131747576,1826.85234551
1642809600000,2022-01-22 00:00:00,BSV/USD,95.508,96.171,82.325,89.181,685974.5753689414,7691.93634708
