https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1651795200000,2022-05-06 00:00:00,RBT/USD,36392,36821,35283,36225,6552.96738075,0.18089627
1651708800000,2022-05-05 00:00:00,RBT/USD,39499,40105,35628,36798,2257.35601494,0.06134453
1651622400000,2022-05-04 00:00:00,RBT/USD,37558,40300,37539,39895,2372.73477855,0.05947449
1651536000000,2022-05-03 00:00:00,RBT/USD,38705,38912,37412,38136,2242.30298544,0.05879754
1651449600000,2022-05-02 00:00:00,RBT/USD,38704,39346,37940,38316,9720.4377666,0.25369135
1651363200000,2022-05-01 00:00:00,RBT/USD,37500,38852,37438,38672,2181.80888432,0.05641831
1651276800000,2022-04-30 00:00:00,RBT/USD,38800,39108,37491,37504,2221.85734784,0.05924321
1651190400000,2022-04-29 00:00:00,RBT/USD,39561,40235,38159,38428,2289.72930576,0.05958492
1651104000000,2022-04-28 00:00:00,RBT/USD,39446,40449,38895,39589,62476.040262350005,1.57811615
1651017600000,2022-04-27 00:00:00,RBT/USD,38296,39641,37749,39235,9885.00204545,0.25194347
1650931200000,2022-04-26 00:00:00,RBT/USD,40277,40905,37772,38298,2300.60451972,0.06007114
1650844800000,2022-04-25 00:00:00,RBT/USD,39265,40741,38160,40295,18552.40187455,0.46041448999999995
1650758400000,2022-04-24 00:00:00,RBT/USD,39657,40007,38841,39655,14833.9972627,0.37407634
1650672000000,2022-04-23 00:00:00,RBT/USD,39804,40211,39179,39263,6423.042807860001,0.16359022
1650585600000,2022-04-22 00:00:00,RBT/USD,40277,40986,39093,39529,6696.298377929999,0.16940217
1650499200000,2022-04-21 00:00:00,RBT/USD,41550,43054,39660,40364,20712.089513720002,0.51313273
1650412800000,2022-04-20 00:00:00,RBT/USD,41317,42336,40787,41624,14266.7966584,0.3427541
1650326400000,2022-04-19 00:00:00,RBT/USD,40640,41898,38505,41302,6621.245460900001,0.16031295
1650240000000,2022-04-18 00:00:00,RBT/USD,39481,41178,38600,41013,31288.15164888,0.76288376
1650153600000,2022-04-17 00:00:00,RBT/USD,40600,40784,39438,39876,14949.63681312,0.37490312
1650067200000,2022-04-16 00:00:00,RBT/USD,40381,40963,39867,40600,9929.758804000001,0.24457534
1649980800000,2022-04-15 00:00:00,RBT/USD,39734,40844,39605,40772,2459.47263948,0.06032259
1649894400000,2022-04-14 00:00:00,RBT/USD,40976,41755,39483,40131,6355.10543031,0.15835901
1649808000000,2022-04-13 00:00:00,RBT/USD,39984,41604,39348,40976,20680.310611999997,0.50469325
1649721600000,2022-04-12 00:00:00,RBT/USD,39826,40831,39171,40382,70973.54805092,1.75755406
1649635200000,2022-04-11 00:00:00,RBT/USD,41964,42525,39225,39722,10732.41925538,0.27018829
1649548800000,2022-04-10 00:00:00,RBT/USD,42697,43386,41751,42068,15018.20322236,0.35699827
1649462400000,2022-04-09 00:00:00,RBT/USD,42064,42844,41937,42697,2341.84035933,0.05484789
1649376000000,2022-04-08 00:00:00,RBT/USD,43455,44083,41959,42379,10703.70852795,0.25257105
1649289600000,2022-04-07 00:00:00,RBT/USD,42984,44094,42798,43456,19348.74445504,0.44524909
1649203200000,2022-04-06 00:00:00,RBT/USD,45264,45807,42963,43393,117619.62341668,2.71056676
1649116800000,2022-04-05 00:00:00,RBT/USD,46391,47382,45383,45740,94222.4665702,2.0599577300000003
1649030400000,2022-04-04 00:00:00,RBT/USD,46063,47136,44910,46391,3647.8412353199997,0.07863252
1648944000000,2022-04-03 00:00:00,RBT/USD,46034,47557,45418,46181,9504.25669088,0.20580448
1648857600000,2022-04-02 00:00:00,RBT/USD,46063,47441,45584,46035,7371.493400699999,0.16012801999999998
1648771200000,2022-04-01 00:00:00,RBT/USD,45269,46660,44180,46063,7359.6693013700005,0.15977399
1648684800000,2022-03-31 00:00:00,RBT/USD,47319,47804,45148,45701,11365.23224773,0.24868673
1648598400000,2022-03-30 00:00:00,RBT/USD,47876,47876,46463,46851,2873.72414952,0.06133752
1648512000000,2022-03-29 00:00:00,RBT/USD,46921,48189,46921,47241,2703.06341019,0.05721859
1648425600000,2022-03-28 00:00:00,RBT/USD,46576,48375,46492,46919,7489.12116471,0.15961809
1648339200000,2022-03-27 00:00:00,RBT/USD,44301,47053,44256,47053,2711.37783723,0.05762391
1648252800000,2022-03-26 00:00:00,RBT/USD,44337,44957,44017,44730,23758.3524717,0.53115029
1648166400000,2022-03-25 00:00:00,RBT/USD,44207,45264,43462,44337,72671.66073771,1.63907483
1648080000000,2022-03-24 00:00:00,RBT/USD,43098,44388,42299,44149,19868.06057061,0.45002289
1647993600000,2022-03-23 00:00:00,RBT/USD,42562,43098,41527,43098,34914.15568938,0.81011081
1647907200000,2022-03-22 00:00:00,RBT/USD,41185,43319,40565,42564,104896.35094992,2.46443828
1647820800000,2022-03-21 00:00:00,RBT/USD,41024,41734,40377,41257,2720.62231553,0.06594329
1647734400000,2022-03-20 00:00:00,RBT/USD,42397,42461,40775,41432,6567.48658544,0.15851242000000001
1647648000000,2022-03-19 00:00:00,RBT/USD,41581,42549,41364,41975,2480.3556385,0.05909126
1647561600000,2022-03-18 00:00:00,RBT/USD,40752,42446,39727,41569,2452.79838243,0.05900547
1647475200000,2022-03-17 00:00:00,RBT/USD,41350,41518,40475,40780,10603.90106,0.260027
1647388800000,2022-03-16 00:00:00,RBT/USD,39533,41762,38818,41350,35114.0466095,0.84919097
1647302400000,2022-03-15 00:00:00,RBT/USD,39547,39972,38135,39149,2321.28318895,0.05929355
1647216000000,2022-03-14 00:00:00,RBT/USD,37607,40015,37430,39546,6257.530068659999,0.15823421
1647129600000,2022-03-13 00:00:00,RBT/USD,38972,39624,37427,37984,17326.24092768,0.45614577
1647043200000,2022-03-12 00:00:00,RBT/USD,38556,39538,38532,38955,2279.9710951499997,0.058528329999999996
1646956800000,2022-03-11 00:00:00,RBT/USD,39268,40300,38151,38573,6147.2035028499995,0.15936545
1646870400000,2022-03-10 00:00:00,RBT/USD,41779,42273,38530,39257,6393.27999699,0.16285707
1646784000000,2022-03-09 00:00:00,RBT/USD,38924,42767,38522,41805,2622.32439165,0.06272753
1646697600000,2022-03-08 00:00:00,RBT/USD,37894,39498,37798,38939,8380.79346442,0.21522878
1646611200000,2022-03-07 00:00:00,RBT/USD,38598,39702,37074,38273,7982.79939506,0.20857522
1646524800000,2022-03-06 00:00:00,RBT/USD,39208,39632,38034,38235,2194.1479747500002,0.05738585
1646438400000,2022-03-05 00:00:00,RBT/USD,39324,39729,38587,39589,14069.84508776,0.35539784
1646352000000,2022-03-04 00:00:00,RBT/USD,42288,42760,38471,39326,8562.62144136,0.21773436
1646265600000,2022-03-03 00:00:00,RBT/USD,43721,44287,41699,42288,6554.98760736,0.15500822
1646179200000,2022-03-02 00:00:00,RBT/USD,44020,45389,43383,44157,12488.133458130002,0.28281209
