https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WBT
1656374400000,2022-06-28 00:00:00,WBT/USD,20791,23495,20149,20269,119092.55747976,5.87560104
1656288000000,2022-06-27 00:00:00,WBT/USD,21063,22698,20588,20790,11187.7021179,0.53812901
1656201600000,2022-06-26 00:00:00,WBT/USD,21499,22044,21031,21050,6603.116823,0.31368726
1656115200000,2022-06-25 00:00:00,WBT/USD,21218,23480,19552,21502,122708.91640618,5.70686059
1656028800000,2022-06-24 00:00:00,WBT/USD,21043,21540,20699,21204,2528.9881455600002,0.11926939
1655942400000,2022-06-23 00:00:00,WBT/USD,19933,21309,19933,21060,3073.2862212,0.14593002
1655856000000,2022-06-22 00:00:00,WBT/USD,20414,20957,19732,19946,3372.1170347199995,0.16906232
1655769600000,2022-06-21 00:00:00,WBT/USD,20549,21843,20305,20790,3119.1264027,0.15003013
1655683200000,2022-06-20 00:00:00,WBT/USD,20699,21115,19661,20549,4406.67243045,0.21444705
1655596800000,2022-06-19 00:00:00,WBT/USD,18993,20904,18004,20536,5475.082629359999,0.26660901
1655510400000,2022-06-18 00:00:00,WBT/USD,20419,21103,17595,18970,22591.5387978,1.19090874
1655424000000,2022-06-17 00:00:00,WBT/USD,20430,30780,17365,20400,93282.94168799999,4.57269322
1655337600000,2022-06-16 00:00:00,WBT/USD,22626,23596,20198,20424,118811.82730415999,5.81726534
1655251200000,2022-06-15 00:00:00,WBT/USD,22161,24110,19907,22626,727131.61968246,32.13699371
1655164800000,2022-06-14 00:00:00,WBT/USD,22466,23270,20667,22195,193566.34440134998,8.72116893
1655078400000,2022-06-13 00:00:00,WBT/USD,26608,26901,21621,22446,74572.33188348,3.32229938
1654992000000,2022-06-12 00:00:00,WBT/USD,28433,28556,26446,26664,4228.16434128,0.15857202
1654905600000,2022-06-11 00:00:00,WBT/USD,29107,29445,28000,28422,6054.16538826,0.21300983
1654819200000,2022-06-10 00:00:00,WBT/USD,30136,31586,24468,29107,6294.42222305,0.21625115
1654732800000,2022-06-09 00:00:00,WBT/USD,29409,31858,28301,30121,3783.5217019599995,0.12561076
1654646400000,2022-06-08 00:00:00,WBT/USD,31146,32113,28402,29676,5065.47122352,0.17069252000000001
1654560000000,2022-06-07 00:00:00,WBT/USD,31600,33916,28144,31166,8576.05044448,0.27517328
1654473600000,2022-06-06 00:00:00,WBT/USD,29963,35121,27251,31407,37782.17125176,1.20298568
1654387200000,2022-06-05 00:00:00,WBT/USD,29845,34612,27038,29940,3845.9941968,0.12845672
1654300800000,2022-06-04 00:00:00,WBT/USD,29763,34190,27229,29858,2740.22750456,0.09177532
1654214400000,2022-06-03 00:00:00,WBT/USD,30472,34125,26860,29733,3406.19196423,0.11455931
1654128000000,2022-06-02 00:00:00,WBT/USD,29802,34364,25672,30479,4000.16332154,0.13124326
1654041600000,2022-06-01 00:00:00,WBT/USD,31838,34634,25120,29832,3586.04266944,0.12020792
1653955200000,2022-05-31 00:00:00,WBT/USD,31776,35991,23301,31786,5890.6514492,0.1853222
1653868800000,2022-05-30 00:00:00,WBT/USD,29412,35177,29320,31726,20993.9523883,0.66172705
1653782400000,2022-05-29 00:00:00,WBT/USD,28996,34190,28844,29459,1659.3120528499999,0.05632615
1653696000000,2022-05-28 00:00:00,WBT/USD,28591,29256,28525,29039,2233.71937304,0.07692136
1653609600000,2022-05-27 00:00:00,WBT/USD,29246,29360,28263,28629,3974.0413044599995,0.13881174
1653523200000,2022-05-26 00:00:00,WBT/USD,29506,29851,28160,29182,1506.60742054,0.05162797
1653436800000,2022-05-25 00:00:00,WBT/USD,29611,30230,29347,29544,1056.3412884,0.03575485
1653350400000,2022-05-24 00:00:00,WBT/USD,29139,29797,28706,29654,915.6680736,0.0308784
1653264000000,2022-05-23 00:00:00,WBT/USD,30236,30633,28957,29094,1083.1111410600001,0.03722799
1653177600000,2022-05-22 00:00:00,WBT/USD,29413,30473,29264,30305,3961.69052345,0.13072729
1653091200000,2022-05-21 00:00:00,WBT/USD,29209,29639,29035,29459,4315.7249408299995,0.14649937
1653004800000,2022-05-20 00:00:00,WBT/USD,30248,30692,28717,29179,1542.52565896,0.05286424
1652918400000,2022-05-19 00:00:00,WBT/USD,28709,30501,24468,30349,1567.4077923900002,0.05164611
1652832000000,2022-05-18 00:00:00,WBT/USD,30506,30643,28695,28738,2016.37964174,0.07016423
1652745600000,2022-05-17 00:00:00,WBT/USD,29818,34440,29516,30450,1552.75512,0.0509936
1652659200000,2022-05-16 00:00:00,WBT/USD,31297,31307,29048,29870,2166.1538806,0.07251938
1652572800000,2022-05-15 00:00:00,WBT/USD,30094,31424,29520,31350,1820.0612429999999,0.05805618
1652486400000,2022-05-14 00:00:00,WBT/USD,29240,30266,28598,30113,1865.3663471500001,0.06194555
1652400000000,2022-05-13 00:00:00,WBT/USD,29157,31798,28757,29294,2032.74844926,0.06939129
1652313600000,2022-05-12 00:00:00,WBT/USD,29155,30212,26704,29081,6811.52485195,0.23422595
1652227200000,2022-05-11 00:00:00,WBT/USD,31110,34583,28020,29009,46993.023957239995,1.61994636
1652140800000,2022-05-10 00:00:00,WBT/USD,30119,32677,29847,31056,56899.06841184,1.83214414
1652054400000,2022-05-09 00:00:00,WBT/USD,34039,34270,30224,30224,39618.72902528,1.31083672
1651968000000,2022-05-08 00:00:00,WBT/USD,35473,35991,33363,34101,1558.88492976,0.04571376
1651881600000,2022-05-07 00:00:00,WBT/USD,36084,36148,35020,35526,4674.04711044,0.13156694000000002
1651795200000,2022-05-06 00:00:00,WBT/USD,36563,36626,35346,36035,1368.9919917000002,0.03799062
1651708800000,2022-05-05 00:00:00,WBT/USD,39759,39822,35750,36615,1698.83384415,0.04639721
1651622400000,2022-05-04 00:00:00,WBT/USD,37674,39926,37674,39698,1383.59756984,0.03485308
1651536000000,2022-05-03 00:00:00,WBT/USD,38469,38681,37570,37742,42764.3939885,1.13307175
1651449600000,2022-05-02 00:00:00,WBT/USD,38521,39116,38069,38524,1454.3441793600002,0.03775164
1651363200000,2022-05-01 00:00:00,WBT/USD,37705,38617,37520,38472,18436.219441920002,0.47921136000000003
1651276800000,2022-04-30 00:00:00,WBT/USD,38676,38799,37641,37647,865.2937068,0.0229844
1651190400000,2022-04-29 00:00:00,WBT/USD,39732,39935,38307,38623,1403.10947582,0.03632834
1651104000000,2022-04-28 00:00:00,WBT/USD,39206,40414,38929,39784,1697.8752945600002,0.04267734
1651017600000,2022-04-27 00:00:00,WBT/USD,38172,39424,38021,39262,1626.7813153799998,0.04143399
1650931200000,2022-04-26 00:00:00,WBT/USD,40529,40718,37847,38109,3447.1141536299997,0.09045407
