https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MLN
1648425600000,2022-03-28 00:00:00,MLN/USD,59.805,62.422,59.712,60.708,2456.32585523436,40.46132067
1648339200000,2022-03-27 00:00:00,MLN/USD,58.423,59.993,58.338,59.741,2024.7161017573599,33.89156696
1648252800000,2022-03-26 00:00:00,MLN/USD,57.946,58.597,57.586,58.355,2012.0701773710998,34.47982482
1648166400000,2022-03-25 00:00:00,MLN/USD,58.584,59.46,57.909,57.958,990.3907493785999,17.0880767
1648080000000,2022-03-24 00:00:00,MLN/USD,57.891,59.132,57.439,58.505,11541.0833503584,197.26661568
1647993600000,2022-03-23 00:00:00,MLN/USD,58.317,58.909,56.94,57.812,4359.44410118608,75.40725284
1647907200000,2022-03-22 00:00:00,MLN/USD,57.699,59.018,57.525,58.36,1149.6857467260002,19.69989285
1647820800000,2022-03-21 00:00:00,MLN/USD,56.024,59.272,55.207,57.624,1362.69300372744,23.64801131
1647734400000,2022-03-20 00:00:00,MLN/USD,58.625,79.41,56.001,56.098,51555.72546614028,919.0296528599999
1647648000000,2022-03-19 00:00:00,MLN/USD,55.213,62.392,55.213,58.627,11186.11557965988,190.80143243999999
1647561600000,2022-03-18 00:00:00,MLN/USD,53.82,55.645,53.249,55.645,1665.3127248797,29.92744586
1647475200000,2022-03-17 00:00:00,MLN/USD,53.734,54.462,53.007,53.945,2180.8393964830498,40.42709049
1647388800000,2022-03-16 00:00:00,MLN/USD,52.428,54.511,51.867,53.863,1612.52699087995,29.93756365
1647302400000,2022-03-15 00:00:00,MLN/USD,52.062,53.899,50.642,52.468,9611.35491175808,183.18508256
1647216000000,2022-03-14 00:00:00,MLN/USD,50.894,52.332,50.709,52.127,6265.59391146839,120.19862857
1647129600000,2022-03-13 00:00:00,MLN/USD,51.861,54.708,50.819,50.963,6480.10050951417,127.15304259
1647043200000,2022-03-12 00:00:00,MLN/USD,51.274,53.559,51.274,51.974,1189.2646709996,22.8819154
1646956800000,2022-03-11 00:00:00,MLN/USD,51.995,52.956,50.569,51.288,2259.681349044,44.0586755
1646870400000,2022-03-10 00:00:00,MLN/USD,52.522,52.988,50.019,52.018,2555.2467362555603,49.12235642
1646784000000,2022-03-09 00:00:00,MLN/USD,51.673,54.219,51.654,52.555,917.7243086126,17.46216932
1646697600000,2022-03-08 00:00:00,MLN/USD,50.858,53.053,50.477,51.578,2602.13444430022,50.45047199
1646611200000,2022-03-07 00:00:00,MLN/USD,52.851,56.723,50.828,50.828,5434.853651772681,106.92637231
1646524800000,2022-03-06 00:00:00,MLN/USD,53.083,66.02,51.489,52.745,59060.60045434779,1119.73837244
1646438400000,2022-03-05 00:00:00,MLN/USD,51.736,56.023,50.917,53.019,5977.95183487296,112.75112384
1646352000000,2022-03-04 00:00:00,MLN/USD,57.327,71.229,51.479,51.628,36508.62865822228,707.14783951
1646265600000,2022-03-03 00:00:00,MLN/USD,60.462,61.009,56.475,57.358,1390.72652946626,24.24642647
1646179200000,2022-03-02 00:00:00,MLN/USD,58.591,62.185,57.54,60.478,794.03505245636,13.12932062
1646092800000,2022-03-01 00:00:00,MLN/USD,57.736,60.515,56.775,58.862,6420.42778132644,109.07593662
1646006400000,2022-02-28 00:00:00,MLN/USD,51.189,57.636,50.554,57.636,680.44110375456,11.80583496
1645920000000,2022-02-27 00:00:00,MLN/USD,52.752,54.513,50.32,51.189,1451.2015829631898,28.34987171
1645833600000,2022-02-26 00:00:00,MLN/USD,52.79,53.993,52.101,52.779,333.48171216666003,6.31845454
1645747200000,2022-02-25 00:00:00,MLN/USD,49.472,53.446,48.665,52.745,625.38892822175,11.85683815
1645660800000,2022-02-24 00:00:00,MLN/USD,51.157,51.157,44.589,49.187,9893.66883654047,201.14397781
1645574400000,2022-02-23 00:00:00,MLN/USD,54.482,55.579,50.521,51.24,1354.1392668384,26.42738616
1645488000000,2022-02-22 00:00:00,MLN/USD,52.794,54.77,50.136,54.594,558.77768847396,10.23514834
1645401600000,2022-02-21 00:00:00,MLN/USD,53.994,56.194,52.704,52.889,1227.1801683130702,23.20293763
1645315200000,2022-02-20 00:00:00,MLN/USD,54.797,58.005,51.068,54.085,9329.73187969715,172.50128279
1645228800000,2022-02-19 00:00:00,MLN/USD,55.993,56.556,54.14,54.723,410.09901757179,7.49408873
1645142400000,2022-02-18 00:00:00,MLN/USD,56.541,58.571,55.706,56.017,2449.24446563823,43.72323519
1645056000000,2022-02-17 00:00:00,MLN/USD,61.527,61.89,55.217,56.582,495.93702256247997,8.76492564
1644969600000,2022-02-16 00:00:00,MLN/USD,60.778,66.579,60.016,61.61,3977.1015770673002,64.55285793
1644883200000,2022-02-15 00:00:00,MLN/USD,55.975,61.306,55.708,60.984,708.46504210944,11.61722816
1644796800000,2022-02-14 00:00:00,MLN/USD,56.468,58.392,54.46,55.999,1966.67339740505,35.11979495
1644710400000,2022-02-13 00:00:00,MLN/USD,57.935,69.516,56.526,56.54,18705.5404789374,330.83729181
1644624000000,2022-02-12 00:00:00,MLN/USD,57.837,58.575,57.046,57.859,313.69629439057,5.42173723
1644537600000,2022-02-11 00:00:00,MLN/USD,61.189,62.573,57.645,57.782,628.05550554348,10.86939714
1644451200000,2022-02-10 00:00:00,MLN/USD,65.76,66.062,61.209,61.209,1149.8195528520303,18.785138670000002
1644364800000,2022-02-09 00:00:00,MLN/USD,62.204,68.927,61.189,65.675,540.21205644075,8.22553569
1644278400000,2022-02-08 00:00:00,MLN/USD,63.638,64.276,60.886,62.256,2508.4658922432004,40.292757200000004
1644192000000,2022-02-07 00:00:00,MLN/USD,62.624,65.356,61.447,63.544,5649.8497425864,88.9124031
1644105600000,2022-02-06 00:00:00,MLN/USD,60.57,65.776,60.57,62.623,2631.91661406663,42.02795481
1644019200000,2022-02-05 00:00:00,MLN/USD,59.795,62.252,59.13,60.827,498.70574216086,8.19875618
1643932800000,2022-02-04 00:00:00,MLN/USD,57.346,60.315,56.293,59.839,6335.68768140412,105.87890308
1643846400000,2022-02-03 00:00:00,MLN/USD,54.969,57.252,54.075,57.252,536.77832811876,9.37571313
1643760000000,2022-02-02 00:00:00,MLN/USD,56.388,56.918,54.056,55.005,524.7947567775,9.5408555
1643673600000,2022-02-01 00:00:00,MLN/USD,56.541,62.627,56.119,56.119,7155.194615375521,127.50039408
1643587200000,2022-01-31 00:00:00,MLN/USD,55.726,56.849,53.685,56.607,656.9470136568001,11.605402400000001
1643500800000,2022-01-30 00:00:00,MLN/USD,58.327,58.336,55.45,55.8,2118.58332777,37.96744315
1643414400000,2022-01-29 00:00:00,MLN/USD,56.42,59.737,54.98,58.222,2113.5315422682597,36.301252829999996
1643328000000,2022-01-28 00:00:00,MLN/USD,53.424,56.501,52.52,56.482,1477.2346443275799,26.15407819
1643241600000,2022-01-27 00:00:00,MLN/USD,53.74,54.993,51.67,53.328,5070.888633756001,95.08867075
1643155200000,2022-01-26 00:00:00,MLN/USD,53.561,56.95,52.47,53.762,2127.34752749376,39.56972448
1643068800000,2022-01-25 00:00:00,MLN/USD,53.361,55.009,51.924,53.637,1201.15470065526,22.39414398
1642982400000,2022-01-24 00:00:00,MLN/USD,56.461,61.645,49.789,53.451,16632.56609483895,311.17408645
1642896000000,2022-01-23 00:00:00,MLN/USD,53.265,56.765,52.908,56.472,21044.939049429362,372.66147913000003
1642809600000,2022-01-22 00:00:00,MLN/USD,60.687,63.408,51.832,53.334,16106.73285217734,301.99746601
1642723200000,2022-01-21 00:00:00,MLN/USD,69.736,70.415,60.176,60.581,21725.563647451792,358.62008959
1642636800000,2022-01-20 00:00:00,MLN/USD,71.825,74.758,69.619,69.786,10297.320541418701,147.55567795000002
1642550400000,2022-01-19 00:00:00,MLN/USD,73.356,73.4,71.411,71.722,861.05359246956,12.005431980000001
1642464000000,2022-01-18 00:00:00,MLN/USD,76.244,76.509,72.962,73.193,1769.58602870429,24.17698453
1642377600000,2022-01-17 00:00:00,MLN/USD,76.61,81.577,74.658,76.333,9004.297980893109,117.96075067
1642291200000,2022-01-16 00:00:00,MLN/USD,77.027,77.618,76.195,76.665,1392.5208547494,18.16371036
1642204800000,2022-01-15 00:00:00,MLN/USD,78.246,80.362,77.079,77.079,4897.09373425533,63.53343627
1642118400000,2022-01-14 00:00:00,MLN/USD,75.264,84.831,73.997,77.966,13056.293841588618,167.46137857
1642032000000,2022-01-13 00:00:00,MLN/USD,77.276,79.129,74.337,75.323,2540.1413114840198,33.72331574
1641945600000,2022-01-12 00:00:00,MLN/USD,75.765,77.566,74.159,77.331,1143.2936883888901,14.78441619
1641859200000,2022-01-11 00:00:00,MLN/USD,72.39,76.335,72.147,75.388,1808.0135057798,23.98277585
1641772800000,2022-01-10 00:00:00,MLN/USD,75.542,76.922,70.644,72.543,1837.0307641734303,25.323336010000002
1641686400000,2022-01-09 00:00:00,MLN/USD,74.766,78.301,74.172,75.819,12094.334733177,159.515883
1641600000000,2022-01-08 00:00:00,MLN/USD,78.029,81.11,72.793,74.977,11299.92928882986,150.71194218
1641513600000,2022-01-07 00:00:00,MLN/USD,83.354,83.394,77.583,78.002,4846.305745363699,62.13053185
1641427200000,2022-01-06 00:00:00,MLN/USD,86.193,86.542,80.423,82.676,4684.02740111548,56.65522523
1641340800000,2022-01-05 00:00:00,MLN/USD,90.589,97.337,86.025,86.747,12047.10124062996,138.87628668
1641254400000,2022-01-04 00:00:00,MLN/USD,93.095,94.255,90.647,90.807,4035.16468002537,44.43671391
1641168000000,2022-01-03 00:00:00,MLN/USD,96.046,96.046,91.654,92.833,3092.2558783807604,33.30987772
1641081600000,2022-01-02 00:00:00,MLN/USD,97.889,99.852,95.08,96.229,5466.00350523542,56.802039979999996
1640995200000,2022-01-01 00:00:00,MLN/USD,89.0,114.0,89.0,98.57,40659.744527685594,412.49614008
1640908800000,2021-12-31 00:00:00,MLN/USD,89.391,96.187,88.888,88.888,12737.566229286162,143.29905307
1640822400000,2021-12-30 00:00:00,MLN/USD,92.742,100.18,88.888,89.312,39131.491994768956,438.14372083
1640736000000,2021-12-29 00:00:00,MLN/USD,122.7,125.38,92.114,93.075,148488.74586406274,1595.36659537
1640649600000,2021-12-28 00:00:00,MLN/USD,86.975,131.33,85.113,123.36,1313495.4772570895,10647.661132109999
1640563200000,2021-12-27 00:00:00,MLN/USD,87.322,90.007,85.66,87.256,6342.94530295712,72.69351452
1640476800000,2021-12-26 00:00:00,MLN/USD,84.187,86.851,82.724,86.742,3926.4244925007606,45.26555178
1640390400000,2021-12-25 00:00:00,MLN/USD,82.329,85.283,82.16,84.429,5882.24706970347,69.67093143
1640304000000,2021-12-24 00:00:00,MLN/USD,84.498,85.149,82.356,82.385,1018.4839693280001,12.3624928
1640217600000,2021-12-23 00:00:00,MLN/USD,81.786,85.086,80.721,84.375,3539.4469509375003,41.9490009
1640131200000,2021-12-22 00:00:00,MLN/USD,82.513,84.857,81.046,81.892,2867.51315575308,35.01579099
1640044800000,2021-12-21 00:00:00,MLN/USD,79.801,83.022,79.701,82.813,2468.48226201636,29.80790772
1639958400000,2021-12-20 00:00:00,MLN/USD,82.567,83.162,76.84,79.718,3000.6893989314403,37.64130308
1639872000000,2021-12-19 00:00:00,MLN/USD,85.319,85.6,82.837,82.837,1389.62231790563,16.77538199
