https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAX
1641772800000,2022-01-10 00:00:00,PAX/USD,1.0001,1.0002,1.0001,1.0002,57.98703943886999,57.97544435
1641686400000,2022-01-09 00:00:00,PAX/USD,1.0001,1.0004,0.99991,0.99991,161.74214809644198,161.7567062
1641600000000,2022-01-08 00:00:00,PAX/USD,1.0001,1.0001,0.99991,0.99991,34562.115474658945,34565.22634503
1641513600000,2022-01-07 00:00:00,PAX/USD,1.0003,1.0003,0.99997,0.99997,21.2080431996162,21.20867946
1641427200000,2022-01-06 00:00:00,PAX/USD,1.0001,1.0004,1.0001,1.0003,14.027638069312,14.02343104
1641340800000,2022-01-05 00:00:00,PAX/USD,1.0,1.0,1.0,1.0,2.40451175,2.40451175
1641168000000,2022-01-03 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,48.904889999999995,48.9
1641081600000,2022-01-02 00:00:00,PAX/USD,0.99991,0.99991,0.99991,0.99991,24.0856557358724,24.08782364
1640995200000,2022-01-01 00:00:00,PAX/USD,1.0001,1.0003,1.0001,1.0003,3647.9865157343997,3646.892448
1640736000000,2021-12-29 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,3.088805679683,3.08849683
1640649600000,2021-12-28 00:00:00,PAX/USD,0.99991,1.0004,0.99991,1.0004,6582.989079944868,6580.35693717
1640563200000,2021-12-27 00:00:00,PAX/USD,1.0003,1.0003,1.0001,1.0002,30.158469217746,30.15243873
1640476800000,2021-12-26 00:00:00,PAX/USD,1.0003,1.0004,1.0003,1.0004,6152.431572983741,6149.971584350001
1640304000000,2021-12-24 00:00:00,PAX/USD,1.0001,1.0001,0.99971,0.99971,5.7349721856151,5.73663581
1640131200000,2021-12-22 00:00:00,PAX/USD,1.0001,1.0004,1.0001,1.0002,17.524825914330002,17.52132165
1640044800000,2021-12-21 00:00:00,PAX/USD,1.0006,1.0006,1.0001,1.0004,9574.745045991727,9570.91667932
1639785600000,2021-12-18 00:00:00,PAX/USD,1.0005,1.0005,1.0005,1.0005,3.635821412205,3.63400441
